epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5428,1.1704,3.68367,1.68903,0.00274,0.67585,0.05637,0.03349,1.67357,3.38617,1.99306,0.00026656,0.00026656,0.00026656
2,25.8498,1.06953,3.07647,1.61177,0.40902,0.08859,0.04754,0.01475,2.26454,3.46415,2.53152,0.000537876,0.000537876,0.000537876
3,38.0328,1.17044,2.86894,1.66635,0.43682,0.18466,0.07006,0.03691,1.77187,5.52748,2.2041,0.000805564,0.000805564,0.000805564
4,50.1657,1.09318,2.72312,1.61573,0.12912,0.26829,0.10855,0.07608,2.03728,5.44332,2.42359,0.000816507,0.000816507,0.000816507
5,62.2609,1.12058,2.58839,1.63903,0.1908,0.39929,0.20007,0.13071,1.61242,2.74135,2.16506,0.000811009,0.000811009,0.000811009
6,74.3195,1.10373,2.53868,1.64416,0.28644,0.36542,0.1828,0.13335,1.53988,2.50593,2.00717,0.000805511,0.000805511,0.000805511
7,86.3355,1.03021,2.3987,1.57461,0.16945,0.37124,0.17546,0.12562,1.27094,2.68953,1.73547,0.000800013,0.000800013,0.000800013
8,98.8681,1.03559,2.35596,1.5865,0.44566,0.33335,0.20497,0.14048,1.49437,2.51883,2.08797,0.000794515,0.000794515,0.000794515
9,111.204,1.01293,2.27477,1.57985,0.17196,0.45113,0.19635,0.12803,1.48166,2.60482,2.0032,0.000789018,0.000789018,0.000789018
10,123.134,0.98615,2.2072,1.56532,0.38103,0.42998,0.22424,0.14951,1.59081,2.4914,2.09675,0.00078352,0.00078352,0.00078352
11,135.045,0.95817,2.1592,1.54534,0.32483,0.60415,0.26344,0.18081,1.38068,2.52885,1.89327,0.000778022,0.000778022,0.000778022
12,146.836,0.97753,2.20228,1.56526,0.34454,0.43785,0.25138,0.17413,1.25988,2.316,1.71776,0.000772524,0.000772524,0.000772524
13,158.751,0.95025,2.07746,1.5326,0.23788,0.4195,0.2407,0.18032,1.40554,2.49062,1.86577,0.000767026,0.000767026,0.000767026
